Producto,,,,,,,,,,,,,,,
Tirabeques,764,744,null,null,null,null,null,null,null,null,null,null,null,null,null
Guisantes,858,838,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Garrofón,316,298,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Tabella,690,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Xera,653,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Helda,734,690,648,616,594,586,558,546,536,null,null,null,null,null,null
Judía Perona roja,638,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,80,75,73,70,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,145,135,130,126,122,119,117,114,112,null,null,null,null,null,null
Pepino Almería,128,125,121,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,167,163,157,154,152,150,147,145,141,null,null,null,null,null,null
Calabacín Gordo,178,175,171,166,162,158,153,151,148,145,null,null,null,null,null
Berenjena Rayada,274,265,254,249,244,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,274,270,268,263,260,258,256,254,null,null,null,null,null,null,null
Tomate Pera,78,70,66,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Palermo,128,125,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,135,124,117,114,110,108,105,102,null,null,null,null,null,null,null
Pimiento Italiano rojo,122,87,79,64,59,53,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,130,126,123,119,117,114,111,109,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,112,106,99,97,94,92,90,89,88,87,86,84,83,null,null
Pimiento California verde,130,127,124,120,117,113,111,109,107,null,null,null,null,null,null
Pimiento California rojo,125,122,119,117,116,111,106,104,103,null,null,null,null,null,null
Pimiento California amarillo,155,151,148,146,144,142,140,null,null,null,null,null,null,null,null
