Producto,,,,,,,,,,,,,,,
Tirabeques,700,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Guisantes,648,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Garrofón,318,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Helda,561,478,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona semi,527,508,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona roja,597,578,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Rastra,998,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Stryke,886,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,76,72,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,150,143,136,132,126,null,null,null,null,null,null,null,null,null,null
Pepino Almería,112,105,101,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,169,163,159,154,152,147,null,null,null,null,null,null,null,null,null
Calabacín Gordo,163,157,153,149,145,141,null,null,null,null,null,null,null,null,null
Calabacín Blanco,169,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Rayada,251,231,220,213,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,274,268,253,234,219,null,null,null,null,null,null,null,null,null,null
Tomate Daniela,107,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,77,63,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento avenado,57,54,49,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,114,102,93,87,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano rojo,131,89,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,111,96,89,85,82,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,104,100,95,91,85,81,79,75,71,null,null,null,null,null,null
Pimiento California verde,131,122,117,111,106,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,118,112,108,103,97,94,89,null,null,null,null,null,null,null,null
Pimiento California amarillo,131,127,123,null,null,null,null,null,null,null,null,null,null,null,null
