Producto,,,,,,,,,,,,,,,
Judía Helda,746,714,686,666,640,612,594,570,550,538,526,null,null,null,null
Judía Perona semi,582,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona roja,662,620,578,528,500,484,474,null,null,null,null,null,null,null,null
Judía Rastra,1064,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Stryke,986,934,886,814,776,754,722,692,670,null,null,null,null,null,null
Judía Emerite,458,438,412,386,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,79,76,73,70,68,null,null,null,null,null,null,null,null,null,null
Pepino Español,152,148,139,133,128,122,118,114,null,null,null,null,null,null,null
Pepino Almería,125,122,119,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,160,155,150,146,143,141,139,136,131,null,null,null,null,null,null
Calabacín Gordo,153,149,143,139,136,133,126,null,null,null,null,null,null,null,null
Berenjena Rayada,277,258,245,232,223,218,213,207,203,null,null,null,null,null,null
Berenjena Larga,277,271,264,254,244,239,233,null,null,null,null,null,null,null,null
Tomate Liso,75,68,63,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Daniela,115,109,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Ramo,90,86,82,79,74,null,null,null,null,null,null,null,null,null,null
Tomate Rama C,57,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,75,69,65,61,59,56,null,null,null,null,null,null,null,null,null
Pimiento picante verde,135,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento avenado,44,41,35,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,130,124,120,115,107,103,99,96,93,91,null,null,null,null,null
Pimiento Italiano rojo,131,87,77,68,63,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,132,124,113,104,99,95,91,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,108,102,95,87,84,81,78,76,73,69,null,null,null,null,null
Pimiento Lamuyo amarillo,158,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California verde,127,121,111,103,93,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,117,113,104,98,93,90,86,82,null,null,null,null,null,null,null
Pimiento California amarillo,148,140,135,128,null,null,null,null,null,null,null,null,null,null,null
