Producto,,,,,,,,,,,,,,,
Judía Helda,580,320,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona roja,580,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona,395,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,75,71,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,120,113,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Almería,133,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,156,153,151,148,null,null,null,null,null,null,null,null,null,null,null
Calabacín Gordo,130,120,116,106,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,240,236,232,230,226,220,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,105,96,91,88,86,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano rojo,85,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,131,126,117,111,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,95,88,81,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California verde,100,95,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,100,91,null,null,null,null,null,null,null,null,null,null,null,null,null
