Producto,,,,,,,,,,,,,,,
Judía Helda,600,460,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona roja,520,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,124,119,109,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Almería,131,126,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,158,152,146,141,null,null,null,null,null,null,null,null,null,null,null
Calabacín Gordo,153,148,143,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,271,261,255,251,246,242,null,null,null,null,null,null,null,null,null
Tomate Ramo,86,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,86,66,63,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Palermo,141,137,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,120,115,104,92,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,126,110,107,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,104,98,93,89,86,null,null,null,null,null,null,null,null,null,null
Pimiento California verde,126,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,123,120,116,112,null,null,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,152,147,141,null,null,null,null,null,null,null,null,null,null,null,null
