Producto,,,,,,,,,,,,,,,
Judía Stryke,572,480,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,81,76,71,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,125,119,115,112,108,null,null,null,null,null,null,null,null,null,null
Pepino Almería,122,118,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,169,166,162,159,156,152,null,null,null,null,null,null,null,null,null
Calabacín Gordo,166,161,157,153,null,null,null,null,null,null,null,null,null,null,null
Berenjena Rayada,266,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,278,274,269,263,256,251,246,241,238,233,null,null,null,null,null
Tomate Daniela,125,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,66,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento avenado,39,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,116,111,108,104,99,95,92,90,null,null,null,null,null,null,null
Pimiento Italiano rojo,29,22,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,126,116,110,106,102,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,113,108,97,93,87,83,81,null,null,null,null,null,null,null,null
Pimiento California verde,126,123,119,115,111,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,122,119,112,109,106,102,100,96,null,null,null,null,null,null,null
Pimiento California amarillo,151,147,142,136,null,null,null,null,null,null,null,null,null,null,null
