Producto,,,,,,,,,,,,,,,
Judía Helda,634,598,574,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,73,68,63,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,127,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Almería,117,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,167,163,157,153,146,null,null,null,null,null,null,null,null,null,null
Calabacín Gordo,161,155,151,146,138,null,null,null,null,null,null,null,null,null,null
Berenjena Rayada,231,218,null,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,271,266,258,245,234,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,98,89,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,100,94,90,86,null,null,null,null,null,null,null,null,null,null,null
Pimiento California verde,123,116,111,104,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,116,110,103,98,93,89,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,130,125,119,111,null,null,null,null,null,null,null,null,null,null,null
