Producto,,,,,,,,,,,,,,,
Judía Helda,514,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,85,78,73,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,137,126,118,113,null,null,null,null,null,null,null,null,null,null,null
Pepino Almería,129,124,117,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,160,153,147,143,null,null,null,null,null,null,null,null,null,null,null
Calabacín Gordo,160,153,143,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,276,272,269,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Ramo,101,95,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento avenado,38,34,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Palermo,129,124,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,115,107,99,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano rojo,52,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,120,111,102,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,101,95,90,80,null,null,null,null,null,null,null,null,null,null,null
Pimiento California verde,119,111,100,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,127,123,119,115,null,null,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,144,134,119,null,null,null,null,null,null,null,null,null,null,null,null
