Producto,,,,,,,,,,,,,,,
Calabacín Fino,165,163,161,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Maduro,460,450,440,420,410,null,null,null,null,null,null,null,null,null,null
Tomate Raf Roscos,180,170,160,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Daniela,105,102,99,96,93,90,87,null,null,null,null,null,null,null,null
Tomate Daniela G,128,125,122,119,116,113,110,107,104,101,null,null,null,null,null
Tomate Daniela GG,138,135,132,129,126,123,120,117,null,null,null,null,null,null,null
Tomate Daniela M,114,111,108,105,102,99,96,null,null,null,null,null,null,null,null
Tomate Daniela MM,79,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Rama MM,76,73,70,67,64,61,null,null,null,null,null,null,null,null,null
Tomate Rama C,107,104,101,98,95,92,89,86,83,80,77,74,71,null,null
Tomate Beef,210,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Negro,190,160,145,125,110,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,103,null,null,null,null,null,null,null,null,null,null,null,null,null,null
