Producto,,,,,,,,,,,,,,,
Judía Perona roja,452,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,83,77,73,70,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,121,118,112,106,99,null,null,null,null,null,null,null,null,null,null
Pepino Almería,121,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,153,149,145,143,null,null,null,null,null,null,null,null,null,null,null
Calabacín Gordo,143,129,99,86,null,null,null,null,null,null,null,null,null,null,null
Berenjena Rayada,241,238,null,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,249,246,243,241,239,235,231,228,226,223,null,null,null,null,null
Tomate Daniela,119,95,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Ramo,59,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,65,62,58,55,51,48,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,110,105,98,96,94,91,89,86,null,null,null,null,null,null,null
Pimiento Italiano rojo,81,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,129,121,117,113,109,107,105,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,109,102,91,86,83,80,77,74,72,70,null,null,null,null,null
Pimiento California verde,120,117,113,110,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,116,110,102,98,95,92,89,null,null,null,null,null,null,null,null
Pimiento California amarillo,161,151,130,113,100,null,null,null,null,null,null,null,null,null,null
