Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Helda,1.22,1.14,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,0.83,0.76,0.73,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,0.20,0.29,0.10,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Almería,0.26,0.29,0.22,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.92,0.87,0.83,0.80,0.77,null,null,null,null,null,null,null,null,null,null,null
Calabacín Gordo,0.62,0.62,0.57,0.52,0.42,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,0.83,0.79,0.77,0.73,0.68,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,1.08,0.12,0.95,0.91,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano rojo,0.82,0.79,0.68,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,0.46,0.42,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,1.08,0.96,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,0.93,0.96,0.83,0.71,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,0.83,0.74,null,null,null,null,null,null,null,null,null,null,null,null,null,null
